quote,title,description,rating
跨度十五年的欢乐与泪水。,玩具总动员3 / Toy Story 3 / 反斗奇兵3(港)  /  玩具的故事3,"
                            导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...",8.8
老少皆宜，这就是好莱坞动画的魅力。,疯狂原始人 / The Croods / 古鲁家族(港 / 台) ,"
                            导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...",8.8
骨灰级歌舞片。,雨中曲 / Singin' in the Rain / 雨中情  /  万花嬉春,"
                            导演: Stanley Donen / Gene Kelly   主演: Gene Kelly / Donald O'Connor / ...",8.9
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,碧海蓝天 / Le grand bleu / 碧海情深  /  夜海倾情,"
                            导演: Luc Besson   主演: Jean-Marc Barr / Jean Reno / Rosanna Arquette",8.8
对爱的执着，可以超越一切。,人工智能 / Artificial Intelligence: AI / AI人工智慧,"
                            导演: Steven Spielberg   主演: Haley Joel Osment / Frances O'Connor / Sa...",8.6
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,穿条纹睡衣的男孩 / The Boy in the Striped Pajamas / 穿条纹衣服的男孩  /  穿条纹衣的男孩,"
                            导演: 马克·赫门 Mark Herman   主演: 阿沙·巴特菲尔德 Asa Butterfield / ...",8.8
天使与魔鬼的冲撞。,撞车 / Crash / 冲击效应  /  冲撞,"
                            导演: 保罗·哈吉斯 Paul Haggis   主演: 桑德拉·布洛克 Sandra Bullock / ...",8.6
任何信念的力量，都无法改变命运。,教父3 / The Godfather: Part III / 教父第三集  /  教父 III,"
                            导演: Francis Ford Coppola   主演: 阿尔·帕西诺 Al Pacino / 黛安·基顿 D...",8.7
生命不止，摇滚不死。,海盗电台 / The Boat That Rocked / 出位乐人谷(港)  /  海盗电波,"
                            导演: 理查德·柯蒂斯 Richard Curtis   主演: 比尔·奈伊 Bill Nighy / 肯尼...",8.7
一个单凭体香达到高潮的男人。,香水 / Perfume: The Story of a Murderer / 香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事,"
                            导演: 汤姆·提克威 Tom Tykwer   主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克...",8.4
童话世界的开端。,哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港 / 台) ,"
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint",8.5
香港浪漫主义警匪动作片的巅峰之作。,纵横四海 / 緃横四海 / Once a Thief,"
                            导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...",8.7
英雄泪短，兄弟情长。 ,英雄本色 / A Better Tomorrow  /  Gangland Boss,"
                            导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...",8.7
爱是摈弃傲慢与偏见之后的曙光。,傲慢与偏见 / Pride & Prejudice / 傲慢与偏见2005  /  Pride And Prejudice,"
                            导演: 乔·怀特 Joe Wright   主演: 凯拉·耐特丽 Keira Knightley / 马修·...",8.4
黑暗之美。,黑天鹅 / Black Swan / 夺命黑天鹅  /  霸王别鹅(豆友译名),"
                            导演: 达伦·阿罗诺夫斯基 Darren Aronofsky   主演: 娜塔丽·波曼 Natalie P...",8.5
松鼠才是角儿。,冰川时代 / Ice Age / 冰河世纪  /  冰原历险记,"
                            导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...",8.4
坏人的好总是比好人的好来得更感人。,完美的世界 / A Perfect World / 强盗保镳,"
                            导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...",9.0
,狩猎 / Jagten / 谎言的烙印(台)  /  诬网(港),"
                            导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...",9.0
世界离独裁只有五天。,浪潮 / Die Welle / 恶魔教室(台)  /  白恤暴潮(港),"
                            导演: 丹尼斯·甘塞尔 Dennis Gansel   主演: 约根·沃格尔 Jürgen Vogel / ...",8.7
最美的飞翔。,迁徙的鸟 / Le peuple migrateur / 鸟的迁徙  /  鸟与梦飞行,"
                            导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:...",9.1
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,末代皇帝 / The Last Emperor / 末代皇帝溥仪(港),"
                            导演: Bernardo Bertolucci   主演: 尊龙 John Lone / 陈冲 Joan Chen / 彼德...",8.7
关于连环杀人悬案的集体回忆。,杀人回忆 / 살인의 추억 / 谋杀回忆  /  杀手回忆录,"
                            导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...",8.6
,控方证人 / Witness for the Prosecution / 雄才伟略  /  情妇,"
                            导演: 比利·怀尔德 Billy Wilder   主演: 查尔斯·劳顿 Charles Laughton / ...",9.5
,素媛 / 소원 / 许愿  /  希望：为爱重生(台),"
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...",9.1
出门必备：本草纲目。,荒野生存 / Into the Wild / 浪荡天涯(港)  /  阿拉斯加之死(台),"
                            导演: 西恩·潘 Sean Penn   主演: 埃米尔·赫斯基 Emile Hirsch / 马西娅·...",8.7
中国家庭的喜怒哀乐忍。,喜宴 / The Wedding Banquet,"
                            导演: 李安   主演: 赵文瑄 / 归亚蕾 / 金素梅",8.7
坚硬的信仰。,可可西里 / Kekexili: Mountain Patrol,"
                            导演: 陆川 Chuan Lu   主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮",8.6
诺兰的牛逼来源于内心散发出的恐惧。,追随 / Following / 致命追踪  /  跟踪,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 杰里米.西奥伯德  Jeremy...",9.0
一场没有春天的噩梦。,梦之安魂曲 / Requiem for a Dream / 噩梦挽歌(台)  /  迷上瘾(港),"
                            导演: 达伦·阿伦诺夫斯基 Darren Aronofsky   主演: 艾伦·伯斯汀 Ellen Bur...",8.7
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,朗读者 / The Reader / 为爱朗读(台)  /  读爱(港),"
                            导演: 史蒂芬·戴德利 Stephen Daldry   主演: 凯特·温丝莱特 Kate Winslet ...",8.4
做一颗让别人需要你的棋子。,战争之王 / Lord of War / 军火之王(台 / 港) ,"
                            导演: Andrew Niccol   主演: Nicolas Cage / Ethan Hawke / Jared Leto",8.5
现实与童话交相辉映的旅程。,燕尾蝶 / スワロウテイル / Swallowtail Butterfly  /  Suwarôteiru,"
                            导演: 岩井俊二 Shunji Iwai   主演: 三上博史 / 恰拉 / 伊藤步",8.7
人生的N种可能性。,罗生门 / 羅生門 / Rashomon,"
                            导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 千秋实 ...",8.7
,布达佩斯大饭店 / The Grand Budapest Hotel / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),"
                            导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...",8.7
只有有信仰的人才能说出事实真相。,一次别离 / جدایی نادر از سیمین / 分居风暴(台)  /  伊朗式分居(港),"
                            导演: 阿斯哈·法哈蒂  Asghar Farhadi   主演: 蕾拉·哈塔米 Leila Hatami /...",8.7
梦的勾结。,红辣椒 / パプリカ / 盗梦侦探  /  帕布莉卡,"
                            导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 古谷彻 T...",8.7
触不到的恋人。,萤火之森 / 蛍火の杜へ / 萤火之社  /  Hotarubi no mori e,"
                            导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 / 内山昂辉 Koki Uchiyama",8.8
天使暂时离开。,绿里奇迹 / The Green Mile / 绿色奇迹  /  绿色英里,"
                            导演: Frank Darabont   主演: 汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...",8.7
乐观比一切都有力量。,叫我第一名 / Front of the Class / 开放有爱  /  站在教室前,"
                            导演: Peter Werner   主演: 詹姆斯·沃克 James Wolk / 特里特·威廉斯 Trea...",8.7
类型片的极致。 ,勇闯夺命岛 / The Rock / 石破天惊  /  绝地任务,"
                            导演: 迈克尔·贝 Michael Bay   主演: 肖恩·康纳利 Sean Connery / 尼古拉...",8.5
与同名歌曲无关。,卡萨布兰卡 / Casablanca / 北非谍影(港)  /  卡萨布兰卡,"
                            导演: Michael Curtiz   主演: 亨弗莱·鲍嘉 Humphrey Bogart / 英格丽·褒曼...",8.6
天使保护事件始末。,地球上的星星 / Taare Zameen Par / 心中的小星星(台)  /  每一个孩子都是特别的,"
                            导演: 阿米尔·汗 Aamir Khan / Amole Gupte   主演: 达席尔·萨法瑞 Darshee...",8.9
"In memory, love lives forever...",英国病人 / The English Patient / 英伦情人(台)  /  别问我是谁(港),"
                            导演: 安东尼·明格拉 Anthony Minghella   主演: 拉尔夫·费因斯 Ralph Fien...",8.4
大卫·林奇的梦境迷宫。,穆赫兰道 / Mulholland Dr. / 穆荷兰大道(台)  /  失忆大道(港),"
                            导演: 大卫·林奇 David Lynch   主演: 娜奥米·沃茨 Naomi Watts / 劳拉·哈...",8.4
10年的完美句点。,哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2 / 哈利波特7：死神的圣物2(港 / 台) ,"
                            导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...",8.6
"Love me, if you dare. ",两小无猜 / Jeux d'enfants / 敢爱就来  /  宝贝游戏,"
                            导演: 杨·塞谬尔 Yann Samuell   主演: 吉约姆·卡内 Guillaume Canet / 玛...",8.3
,谍影重重 / The Bourne Identity / 叛谍追击(港)  /  神鬼认证(台),"
                            导演: Doug Liman   主演: Matt Damon / Franka Potente / Chris Cooper",8.5
生病的E.T.皮肤的颜色就像柿子饼。,E.T. 外星人 / E.T.: The Extra-Terrestrial / 外星人E.T.  /  外星人,"
                            导演: Steven Spielberg   主演: Henry Thomas / Dee Wallace / Robert MacNa...",8.5
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,变脸 / Face/Off / 夺面双雄  /  变脸,"
                            导演: 吴宇森 John Woo   主演: 约翰·特拉沃尔塔 John Travolta / 尼古拉斯...",8.4
故事的反转与反转，分裂电影的始祖。,惊魂记 / Psycho / 精神病患者  /  触目惊心,"
                            导演: Alfred Hitchcock   主演: Janet Leigh / Anthony Perkins / Vera Miles",8.8
有些幸福无关爱情。,曾经 / Once / 一奏倾情(港)  /  曾经。爱是唯一(台),"
                            导演: 约翰·卡尼 John Carney   主演: 格伦·汉塞德 Glen Hansard / 玛可塔...",8.4
,谍影重重2 / The Bourne Supremacy / 叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),"
                            导演: Paul Greengrass   主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦特 Fra...",8.5
王家卫是一种风格，张国荣是一个代表。,阿飞正传 / 阿飛正傳 / Days of Being Wild,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...",8.5
纯净原始的笑与感动。,上帝也疯狂 / The Gods Must Be Crazy / 众神也疯狂 (上)  /  上帝一定发疯了 (上),"
                            导演: Jamie Uys   主演: Marius Weyers / Sandra Prinsloo / N!xau",8.7
科幻真正的魅力不是视觉效果能取代的。 ,这个男人来自地球 / The Man from Earth / 地球不死人(港)  /  这个人来自洞穴,"
                            导演: 理查德·沙因克曼 Richard Schenkman   主演: 大卫·李·史密斯 David ...",8.5
我完全康复了。,发条橙 / A Clockwork Orange / 发条桔子  /  发条橙子,"
                            导演: Stanley Kubrick   主演: Malcolm McDowell / Patrick Magee / Michael...",8.4
青春的窃窃私语。 ,蓝色大门 / 藍色大門 / Blue Gate Crossing  /  蓝色大门,"
                            导演: 易智言 Chih-yen Yee   主演: 桂纶镁 Lunmei Kwai / 陈柏霖 Bo-lin Che...",8.3
四百击的反面。,巴黎淘气帮 / Le petit Nicolas / 小淘气尼古拉(台)  /  反斗小尼哥(港),"
                            导演: Laurent Tirard   主演: 马克西姆·戈达尔 Maxime Godart / 瓦莱丽·勒...",8.6
献给所有外婆的电影。,爱·回家 / 집으로... / 外婆的家  /  回家路上,"
                            导演: 李廷香   主演: 金艺芬 / 俞承浩 / 童孝熙",9.1
麦兜是一只很哲学的猪。 ,麦兜故事 / 麥兜故事 / 麦兜的故事  /  My Life as McDull,"
                            导演: 袁建滔 Toe Yuen   主演: 李晋纬 / 林海峰 Jan Lamb / 吴君如 Sandra Ng",8.5
,魔女宅急便 / 魔女の宅急便 / 小魔女限时专送  /  Kiki's Delivery Service,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 高山南 / 佐久间玲 / 山口胜平",8.4
我们长途跋涉寻找的东西，有可能一直就在身边。 ,蝴蝶 / Le Papillon / The Butterfly  /  蝴蝶,"
                            导演: 菲利普·穆伊尔 Philippe Muyl   主演: 米歇尔·塞罗 Michel Serrault ...",8.6
把爱放在心底，有爱就有希望。,爱在暹罗 / รักแห่งสยาม / 暹罗之恋  /  爱在暹罗广场,"
                            导演: Chukiat Sakveerakul   主演: Witwisit Hiranyawongkul / Mario Maurer...",8.3
偷情本没有这样美。,花样年华 / 花樣年華 / In the Mood for Love,"
                            导演: 王家卫 Kar Wai Wong   主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...",8.3
我不信仰上帝，但我敬畏上帝。,非常嫌疑犯 / The Usual Suspects / 普通嫌疑犯  /  刺激惊爆点,"
                            导演: 布莱恩·辛格 Bryan Singer   主演: Kevin Spacey / Stephen Baldwin /...",8.6
充满诗意与情怀的史诗作品。 ,与狼共舞 / Dances with Wolves / 与狼共舞,"
                            导演: Kevin Costner   主演: Kevin Costner / Mary McDonnell / Graham Greene",8.9
想你时你在闹海。,哪吒闹海 / Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai,"
                            导演: 严定宪 Dingxian Yan / 王树忱 Shuchen Wang   主演: 梁正晖 / 邱岳峰 ...",8.8
心灵救赎。,中央车站 / Central do Brasil / 千年等一天  /  Central Station,"
                            导演: Walter Salles   主演: Fernanda Montenegro / Marília Pêra / Viní...",8.7
,唐伯虎点秋香 / Flirting Scholar,"
                            导演: 李力持   主演: 周星驰 / 巩俐 / 陈百祥",8.3
最棒的西部片。,"黄金三镖客 / Il buono, il brutto, il cattivo. / 好·坏·丑  /  独行侠决斗地狱门(港)","
                            导演: Sergio Leone   主演: Clint Eastwood / Eli Wallach / Lee Van Cleef",9.1
每个人的内心都是深不可测的大海。 ,美国丽人 / American Beauty / 美丽有罪  /  美国心·玫瑰情,"
                            导演: 萨姆·门德斯 Sam Mendes   主演: 凯文·史佩西 Kevin Spacey / 安妮特...",8.4
少见的超越首部的续集，动作片中的经典。,终结者2 / Terminator 2: Judgment Day / 终结者2：审判日  /  终结者2：末日审判,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 阿诺·施瓦辛格 Arnold Schwarz...",8.5
权力不是来自枪和子弹，权力来自谎言。,罪恶之城 / Sin City / 罪恶城  /  万恶城市,"
                            导演: 弗兰克·米勒 Frank Miller / 罗伯特·罗德里格兹 Robert Rodriguez   ...",8.4
没有了退路，只好飞向自由。,末路狂花 / Thelma & Louise / 塞尔玛与路易丝  /  末路狂花,"
                            导演: 雷德利·斯科特 Ridley Scott   主演: 吉娜·戴维斯 Geena Davis / 苏...",8.6
嬉笑怒骂，调风动月。,新龙门客栈 / New Dragon Gate Inn,"
                            导演: 李惠民 Raymond Lee   主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...",8.4
弥漫淡淡血腥气的优雅。,夜访吸血鬼 / Interview with the Vampire: The Vampire Chronicles / 吸血迷情,"
                            导演: 尼尔·乔丹 Neil Jordan   主演: 布拉德·皮特 Brad Pitt / 汤姆·克鲁...",8.3
恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,暖暖内含光 / Eternal Sunshine of the Spotless Mind / 美丽心灵的永恒阳光  /  无痛失恋(港),"
                            导演: 米歇尔·冈瑞 Michel Gondry   主演: 金·凯瑞 Jim Carrey / 凯特·温...",8.4
热血沸腾，相当完美的娱乐拳击大餐。,勇士 / Warrior / 勇者无敌(台)  /  钢铁斗士(港),"
                            导演: 加文·欧康诺 Gavin O'Connor   主演: 汤姆·哈迪 Tom Hardy / 乔尔·...",8.9
,喜剧之王 / 喜劇之王 / King of Comedy,"
                            导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...",8.3
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,青蛇 / Green Snake,"
                            导演: 徐克 Hark Tsui   主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...",8.3
,7号房的礼物 / 7번방의 선물 / 戆爸的礼物(港)  /  7号囚房的礼物,"
                            导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...",8.6
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,黑客帝国3：矩阵革命 / The Matrix Revolutions / 骇客任务完结篇：最后战役  /  廿二世纪杀人网络3：惊变世纪,"
                            导演: Andy Wachowski / Larry Wachowski   主演: Keanu Reeves / Laurence F...",8.4
永远的小人物，伟大的卓别林。,城市之光 / City Lights / City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,"
                            导演: Charles Chaplin   主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...",9.2
养狗三日，便会对你终其一生。,忠犬八公物语 / ハチ公物語 / 八千公物语  /  阿八的故事,"
                            导演: Seijirô Kôyama   主演: 山本圭 Kei Yamamoto / 井川比佐志 Hisa...",9.0
典型盖·里奇式的英国黑色幽默黑帮片。,偷拐抢骗 / Snatch / 边个够我姜(港)  /  掠夺,"
                            导演: 盖·里奇 Guy Ritchie   主演: 布拉德·皮特 Brad Pitt / 本尼西奥·德...",8.5
不要企图在重复中寻找已经失去的爱。,恐怖游轮 / Triangle / 汪洋血迷宮(台)  /  轮回三角,"
                            导演: 克里斯托弗·史密斯 Christopher Smith   主演: 梅利莎·乔治 Melissa ...",8.3
黑小鸭速效美白记。,初恋这件小事 / สิ่งเล็กเล็กที่เรียกว่า...รัก / 初恋那件小事(港)  /  暗恋那点小事,"
                            导演: Puttipong Promsaka Na Sakolnakorn / Wasin pokpong   主演: 马里奥·...",8.3
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,源代码 / Source Code / 启动原始码(台)  /  危机解密(港),"
                            导演: 邓肯·琼斯 Duncan Jones   主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...",8.3
,东京物语 / 東京物語 / 东京故事  /  Tokyo Story,"
                            导演: 小津安二郎 Yasujirô Ozu   主演: 笠智众 Chishû Ryû / 原节...",9.1
,恐怖直播 / 더 테러 라이브 / 死亡“动”新闻(港)  /  恐怖攻击直播(台),"
                            导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...",8.7
用剩余不多的时间，去燃烧整个生命。,遗愿清单 / The Bucket List / 玩转身前事(港)  /  一路玩到挂(台),"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 杰克·尼科尔森 Jack Nicholson / 摩根...",8.5
昆汀同学越来越变态了，比北野武还杜琪峰。,无耻混蛋 / Inglourious Basterds / 恶棍特工(台)  /  希魔撞正杀人狂(港),"
                            导演: Quentin Tarantino   主演: 布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...",8.3
家人的爱，是自己所能拥有的最大的财富。,跳出我天地 / Billy Elliot / 舞动人生  /  芭蕾之梦,"
                            导演: Stephen Daldry   主演: Jamie Bell / Julie Walters / Gary Lewis",8.7
想外婆了，有没有？！,我们俩 / Wo men lia  /  You and Me,"
                            导演: 马俪文 Liwen Ma   主演: 宫哲 Zhe Gong / 金雅琴 Yaqin Jin / 罗忠学",8.6
,时空恋旅人 / About Time / 时空旅恋人  /  回到最爱的一天(港),"
                            导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格利森 Domhnall Gl...",8.6
宠物的意义在于化解人的孤独。,导盲犬小Q / クイール / 再见了！可鲁  /  Quill,"
                            导演: 崔洋一   主演: 小林薰 / 椎名桔平 / 香川照之",8.4
生命有裂缝，阳光才照得进来。,不一样的天空 / What's Eating Gilbert Grape / 恋恋情深  /  什么吞噬着吉尔伯特·格雷普,"
                            导演: Lasse Hallström   主演: Johnny Depp / Leonardo DiCaprio / Julie...",8.6
皇上无话儿。,国王的演讲 / The King's Speech / 皇上无话儿(港)  /  王者之声：宣战时刻(台),"
                            导演: 汤姆·霍珀 Tom Hooper   主演: 柯林·菲尔斯 Colin Firth / 杰弗里·...",8.3
一个人的独角戏。,荒岛余生 / Cast Away / 浩劫重生  /  劫后重生,"
                            导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...",8.4
一个伟大的谎言成就了一个伟大的理想。 ,再见列宁 / Good Bye Lenin! / 快乐的谎言(港)  /  再见，列宁！(台),"
                            导演: 沃尔夫冈·贝克  Wolfgang Becker   主演: 丹尼尔·布鲁赫 Daniel Brü...",8.7
,寿司之神 / Jiro Dreams of Sushi / 次郎的寿司梦  /  梦见寿司的次郎,"
                            导演: 大卫·贾柏 David Gelb   主演: 小野二郎  Jiro Ono / 小野祯一 Yoshik...",8.8
弱者送给弱者的一刀。,牯岭街少年杀人事件 / 牯嶺街少年殺人事件 / A Brighter Summer Day,"
                            导演: 杨德昌 Edward Yang   主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...",8.6
每个美丽事物背后都是滴血的现实。,血钻 / Blood Diamond / 血腥钻石  /  滴血钻石,"
                            导演: Edward Zwick   主演: Leonardo DiCaprio / Jennifer Connelly / Djimo...",8.4
罗马斗兽场的鸦雀无声，久久停留在这样的肃穆中。,角斗士 / Gladiator / 帝国骄雄(港)  /  神鬼战士(台),"
                            导演: Ridley Scott   主演: Russell Crowe / Joaquin Phoenix / Connie Nielsen",8.4
像自由一样美丽。 ,我在伊朗长大 / Persepolis / 茉莉人生(台)  /  波斯波利斯,"
                            导演: 文森特·帕兰德 Vincent Paronnaud / 玛嘉·莎塔琵 Marjane Satrapi   ...",8.7
,大卫·戈尔的一生 / The Life of David Gale / 铁案悬谜  /  命悬一线,"
                            导演: Alan Parker   主演: 凯文·史派西 Kevin Spacey / 凯特·温丝莱特 Kat...",8.7
2009媲美《第九区》的又一部科幻神作。,月球 / Moon / 月劫余生(港)  /  寂寞月影,"
                            导演: Duncan Jones   主演: Sam Rockwell / Kevin Spacey / Dominique McEll...",8.5
这样确切的爱，一生只有一次。,廊桥遗梦 / The Bridges of Madison County / 麦迪逊之桥(港 / 台),"
                            导演: Clint Eastwood   主演: Clint Eastwood / Meryl Streep / Annie Corley",8.5
上帝的宠儿。 ,莫扎特传 / Amadeus / 上帝的宠儿  /  阿玛迪斯,"
                            导演: Milos Forman   主演: Tom Hulce / F. Murray Abraham / Elizabeth Ber...",8.6
一切都没有变，只是你不在我身边。,疯狂约会美丽都 / Les triplettes de Belleville / 佳丽村三姊妹(台)  /  美丽城三重唱,"
                            导演: 西维亚·乔迈 Sylvain Chomet   主演: Béatrice Bonifassi / Lina Bou...",8.8
迪士尼和皮克斯拿错剧本的产物。,无敌破坏王 / Wreck-It Ralph / 破坏王拉尔夫  /  破坏王大冒险,"
                            导演: 瑞奇·莫尔 Rich Moore   主演: 简·林奇 Jane Lynch / 约翰·C·赖利 ...",8.7
好的剧本是，就算你猜到了结局也猜不到全部。,未麻的部屋 / Perfect Blue / 蓝色的恐惧  /  蓝色恐惧,"
                            导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...",8.7
每个人都有自己可望而不可及的梦想。,伴我同行 / Stand by Me / 与我常在  /  伴我同行,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 瑞凡·菲尼克斯 River Phoenix / 威尔...",8.9
,洛城机密 / L.A. Confidential / 洛杉矶机密  /  铁面特警队,"
                            导演: 柯蒂斯·汉森 Curtis Hanson   主演: 凯文·史派西 Kevin Spacey / 罗...",8.6
,千钧一发 / Gattaca / 变种异煞  /  自然人,"
                            导演: 安德鲁·尼科尔 Andrew Niccol   主演: 伊桑·霍克 Ethan Hawke / 乌玛...",8.7
你要相信，这世上真的有爱存在，不管在什么年纪 ,我爱你 / 그대를 사랑합니다 / 爱你  /  Late Blossom,"
                            导演: 秋昌民 Chang-min Choo   主演: 宋在河 Jae-ho Song / 李顺载 Soon-jae...",9.0
诺兰就是保证。,蝙蝠侠：黑暗骑士崛起 / The Dark Knight Rises / 蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...",8.5
音乐引人入胜。,八月迷情 / August Rush / 把爱找回来(台)  /  流浪乐手,"
                            导演: 科斯汀·谢里丹 Kirsten Sheridan   主演: 乔纳森·莱斯·梅耶斯 Jonat...",8.4
琼瑶阿姨在韩国的深刻版。,假如爱有天意 / 클래식 / 不可不信缘  /  缘起不灭,"
                            导演: 郭在容 Jae-young Kwak   主演: 孙艺珍 Ye-jin Son / 曹承佑 Seung-woo...",8.2
爆米花动作电影新标杆。,速度与激情5 / Fast Five / 狂野时速5(港)  /  玩命关头5(台),"
                            导演: 林诣彬 Justin Lin   主演: 范·迪塞尔 Vin Diesel / 保罗·沃克 Paul ...",8.4
,黑鹰坠落 / Black Hawk Down / 黑鹰降落  /  黑鹰计划,"
                            导演: 雷德利·斯科特 Ridley Scott   主演: 乔什·哈奈特 Josh Hartnett / ...",8.4
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,枪火 / 鎗火 / The Mission,"
                            导演: 杜琪峰   主演: 吴镇宇 / 任达华 / 黃秋生",8.5
简简单单，回味悠长。,刺猬的优雅 / Le hérisson / 刺猬优雅  /  The Hedgehog,"
                            导演: 莫娜·阿查切 Mona Achache   主演: 乔丝安·巴拉思科 Josiane Balasko...",8.8
最冷的地方，有最温暖的感情。,帝企鹅日记 / La marche de l'empereur / 企鹅宝贝：南极的旅程  /  企鹅进行曲,"
                            导演: 吕克·雅克 Luc Jacquet   主演: 查尔斯·贝尔林 Charles Berling / 罗...",8.6
,疯狂的石头 / Crazy Stone,"
                            导演: 宁浩 Hao Ning   主演: 徐峥 Zheng Xu / 郭涛 Tao Guo / 刘桦 Hua Liu",8.1
